BJD_TDB	Norm_Flux	Norm_Flux_err	Airmass	Sky_Pixel_T1	JD_UTC	tot_C_counts	X(FITS)_T1	Y(FITS)_T1	Width_T1
2458047.34172090	0.995409	0.003260	3.097143	645.318584	2458047.336285	524037.794537	622.500933	518.60937	5.067325
2458047.34312082	0.997009	0.003389	3.041312	645.407295	2458047.337685	522594.121146	621.967734	518.810888	5.330587
2458047.34450974	0.993568	0.003278	2.987882	641.894578	2458047.339074	522111.817398	622.635799	518.58127	5.224272
2458047.34591066	0.999366	0.003298	2.935866	640.087662	2458047.340475	521726.695141	622.272718	518.556087	5.239124
2458047.34729858	1.000606	0.003346	2.886036	643.029412	2458047.341863	519910.546895	622.50954	518.914808	5.201239
2458047.34869950	0.998520	0.003262	2.837478	643.393846	2458047.343264	522239.839879	622.654963	519.285306	4.954125
2458047.35008842	1.001121	0.003319	2.790914	645.068111	2458047.344653	516889.484375	622.633288	519.191085	5.208356
2458047.35148834	1.003022	0.003357	2.745496	647.314642	2458047.346053	518422.555318	622.691886	519.273364	5.18035
2458047.35288926	0.997944	0.003271	2.701547	646.346386	2458047.347454	520200.6574	623.048475	519.205183	5.050853
2458047.35427818	0.997023	0.003258	2.659347	645.558442	2458047.348843	518565.765957	623.185329	519.234021	5.017229
2458047.35567810	1.006035	0.003302	2.618131	644.97619	2458047.350243	517986.010996	623.46177	519.100341	5.067255
2458047.35707902	1.005477	0.003317	2.578198	644.92381	2458047.351644	516863.152578	623.627003	518.925808	5.084646
2458047.35847895	0.998887	0.003292	2.539492	645.744118	2458047.353044	519735.404923	623.718565	518.87621	5.127036
2458047.35986787	1.001776	0.003324	2.502267	641.012739	2458047.354433	517535.151829	623.684074	519.039999	5.098256
2458047.36126779	0.998596	0.003277	2.465852	641.449231	2458047.355833	516811.984848	623.06099	518.942034	5.047661
2458047.36265671	0.998952	0.003216	2.430805	639.676737	2458047.357222	517508.055973	623.001386	518.773171	4.976687
2458047.36405763	0.995780	0.003305	2.396496	640.87500	2458047.358623	516050.775817	623.740114	518.728382	5.171157
2458047.36545755	0.992571	0.003259	2.363181	643.00295	2458047.360023	516106.593597	623.60993	518.527958	5.034513
2458047.36684647	0.989548	0.003398	2.331084	638.083333	2458047.361412	511368.690859	623.90881	518.643791	5.339656
2458047.36824639	0.990883	0.003452	2.299631	636.95122	2458047.362812	508720.941923	624.287662	518.729048	5.487864
2458047.36963531	0.986326	0.003381	2.269309	638.467422	2458047.364201	509941.302189	624.209777	518.53305	5.256872
2458047.37103623	0.984006	0.003358	2.239579	638.881818	2458047.365602	510659.63324	624.587503	518.924781	5.145366
2458047.37242515	0.987280	0.003475	2.210899	638.941003	2458047.366991	505570.680857	624.672266	518.893925	5.45165
2458047.37382507	0.978124	0.003491	2.182761	638.6000	2458047.368391	507136.934398	624.925559	518.769376	5.484864
2458047.37521399	0.974641	0.003341	2.155603	639.550314	2458047.36978	507272.611	624.537222	518.638013	5.216232
2458047.37661491	0.974646	0.003506	2.128944	639.541176	2458047.371181	503383.933659	624.94875	518.784501	5.591632
2458047.37800283	0.970875	0.003563	2.103199	638.072072	2458047.372569	500571.359591	625.034961	518.563579	5.67612
2458047.37940375	0.969651	0.003507	2.077913	639.777778	2458047.37397	506481.410238	625.061911	518.526483	5.48596
2458047.38080367	0.967182	0.003512	2.053281	641.132022	2458047.37537	503694.527606	624.778218	518.449424	5.50196
2458047.38219259	0.971868	0.003619	2.029475	637.975904	2458047.376759	502969.418419	625.069995	518.481603	5.606028
2458047.38359351	0.965819	0.003869	2.006076	640.311765	2458047.37816	494963.247128	625.348093	518.226029	6.212687
